epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
70,2152.31,0.312,0.3239,0.16798,0.00144,0.12476,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000411531,0.000411531,0.000411531
71,2182.67,0.31502,0.33098,0.16941,0.00149,0.128,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000408438,0.000408438,0.000408438
72,2212.96,0.31438,0.32099,0.16913,0.00149,0.12909,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000405344,0.000405344,0.000405344
73,2243.22,0.32006,0.33447,0.17238,0.0015,0.12736,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00040225,0.00040225,0.00040225
74,2273.57,0.31534,0.32506,0.16839,0.00145,0.12814,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000399156,0.000399156,0.000399156
75,2303.91,0.30951,0.32643,0.16324,0.00144,0.12328,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000396063,0.000396063,0.000396063
76,2334.17,0.31404,0.32756,0.16763,0.00146,0.12498,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000392969,0.000392969,0.000392969
77,2364.56,0.31262,0.32519,0.16903,0.00148,0.12877,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000389875,0.000389875,0.000389875
78,2394.93,0.31289,0.33079,0.16962,0.00146,0.12347,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000386781,0.000386781,0.000386781
79,2425.18,0.30749,0.33182,0.16448,0.00144,0.12003,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000383688,0.000383688,0.000383688
80,2455.53,0.30828,0.32622,0.16256,0.00145,0.12188,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000380594,0.000380594,0.000380594
81,2485.93,0.30636,0.32458,0.16196,0.00142,0.1251,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0003775,0.0003775,0.0003775
82,2516.31,0.30464,0.33035,0.16483,0.00143,0.12441,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000374406,0.000374406,0.000374406
83,2546.58,0.30985,0.33075,0.15983,0.00144,0.12349,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000371313,0.000371313,0.000371313
